Company Name,Website,Founders,Founded Year,Business Model,Technical,stage,Latest Round,Funding Trajectory,Investors,Valuation,source：,last_researched
ROCKBURST TECHNOLOGIES,https://www.rockburst.tech/,"Oscar Malpica (Co-Founder & CEO), Cliff Edwards (Co-Founder), Chuck Lee (Co-Founder); subsidiary of Envisioning Labs","2020 (Vancouver, BC, Canada; originated from NRCan Crush It! Challenge 2019)","⚠️ Not AI exploration (comminution cleantech) — CoreBurst/transcritical CO2 (tCO2) pulverization technology for mining, cement, and recycling industries; reduces grinding energy ~50-55% and sequesters CO2; primarily non-dilutive grants + service contracts + seed investment; currently raising ~C.5-2M seed for industrial pilot",⚠️ Not AI — transcritical CO2 (tCO2) pulverization: pressurized CO2 injected into ore from inside a closed-loop pressure vessel exploits rock's 10-30x lower tensile strength vs compressive strength; CO2 causes tensile fracture from within. Claims ~50-55% energy saving + CO2 sequestration. Source: NRCan Crush It! Challenge 2019. No AI component.,"⚠️ Comminution / ore processing (mineral processing optimization, NOT exploration)","Grant-II / Pre-Seed (~M cumulative, mostly non-dilutive; raising ~C.5-2M seed for industrial pilot)",2019 NRCan Crush It! top 6 → seed grant (prototype build) → NorthX Climate Tech K non-dilutive + government grants + service contracts; cumulative ~M primarily non-dilutive,"NorthX Climate Tech, Chrysalix Venture Capital, BHP, Innovate BC, Natural Resources Canada, BC Hydro, Government of South Australia, NSERC/Mitacs, MICA, NRC-IRAP, UBC, Foresight Cleantech Accelerator, Creative Destruction Lab",Undisclosed,"https://www.rockburst.tech/
https://mine.nridigital.com/mine_jul24/ore-processing-innovation-rockburst-co2-pulverization",2026-06-03T04:00:00.000Z
HEPHAE,https://www.hephaeet.com/,"Steve Krase (CEO & Co-Founder), John Clegg (CTO & Co-Founder); team distributed across Houston / Spain / UK","2020 (Houston, TX, US; Hephae Energy Technology)",⚠️ Not AI exploration — next-gen geothermal enabling technology company; develops ultra-high-temperature (>300°C) downhole electronics and sensors integrated into high-temperature Measurement-While-Drilling (MWD) systems; enables commercial superhot-rock geothermal wells for 24/7 carbon-free baseload power; B2B hardware/services to drilling companies,"⚠️ Not AI — ultra-high-temperature downhole electronics and sensors: products Pandora210 (>300°C rated electronics), Hermes Top-Mount Pulser (downhole data transmission); integrated into high-temperature MWD system for precise geothermal well placement. No AI component.","⚠️ N/A (geothermal drilling enabling hardware, not mineral exploration)",Series A · .35M · Sep 2024 (led by Underground Ventures); earlier M round also reported,"Founded 2020 → early rounds (undisclosed) → Series A .35M (Sep 2024, Underground Ventures lead); cumulative >M","Underground Ventures (lead), Future Ventures, Grantham Foundation, Exascale Fund, Nabors Industries",Undisclosed,"https://www.hephaeet.com/about-us/
https://www.world-energy.org/article/46282.html",2026-06-03T04:00:00.000Z
corePLAN,https://www.coreplan.io/,"Alex Goulios (Founder & CEO, former geological consultant at CSA Global)","2016 (as SpringTech Pty Ltd, Perth, Western Australia; rebranded to CorePlan 2021 after achieving product-market fit)","B2B mining SaaS — integrated drilling management platform connecting mining/exploration companies (Mining Hub) and drilling contractors (Drilling Hub) into a single system of record; covers planning, production reporting (plod), contractor management, compliance, invoicing; digitizes previously spreadsheet/email-based workflows; 90+ customers, 9,000+ users globally, AB+ drilling works processed; notable customers: BHP, Fortescue, AngloGold Ashanti, Rio Tinto; 70+ employees","SaaS workflow platform for drilling data management — real-time data capture, production reporting, cost management, compliance documentation, contractor coordination. AI/ML not prominently featured (primarily workflow automation and data management rather than predictive AI or geological modeling). Has processed 45M metres of drilling data.","All lifecycle stages: exploration drilling + resource definition + production (drilling operations management, not geological prediction)",Seed · AM · Feb 2026 (led by EVP),"Founded 2016 (SpringTech) → product-market fit 2021 → AM seed (2022-2023) → AM follow-on (Feb 2026, EVP lead); total ~AM raised","EVP (lead, Feb 2026); earlier round investors not publicly named",Undisclosed,"https://www.coreplan.io/about
https://www.startupdaily.net/topic/funding/wa-drilling-software-startup-coreplan-strikes-5-million/
https://www.smartcompany.com.au/startupsmart/coreplan-raises-5-million-expand-mining-software-platform/
https://fundup.ai/recently-funded-startups/company/ydmP7XUWhZIlZRvi1kLc/coreplan",2026-06-03T04:00:00.000Z
WATOGA TECHNOLOGIES,https://www.watoga.tech/,"Elliot Forcier-Poirier (Co-founder & CEO, McGill University Mathematics & Computer Science), Samuel Desjardins (Co-founder & COO/CPO, McGill University Mining Engineering, P.Eng., former drill-and-blast mining engineer), Roko Baljak (Co-founder & CTO)","2024 (Montreal, Quebec, Canada; founded by three McGill University graduates with direct mine site experience)","B2B mining operations software — RockHound product automates drill-and-blast design for production-stage mines running weekly/daily blasts; predicts pre-blast rock formation characteristics, auto-generates drilling and explosives plans, simulates blast outcomes to optimize efficiency; targets 70% cost reduction opportunity (drilling = ~70% of exploration capex and ~60% labor-driven)","AI-driven blast design and optimization — RockHound: uses data and predictive ML to model pre-blast rock formation, auto-generate drilling/explosives placement plans, simulate blast outcomes. Enables real-time ore vein measurement to reorient blast plans after each blast. Focus: mine-to-mill optimization for production blasting (NOT mineral exploration targeting). Architecture not publicly disclosed beyond predictive ML.",Production-stage mines — blast design optimization (NOT exploration; production operations),"Pre-Seed (Eric Jorgenson personal + Rolling Fun; exact amount undisclosed, 2024)","Founded 2024 → Pre-Seed (Eric Jorgenson/Rolling Fun, 2024); total raised undisclosed","Eric Jorgenson (personal investment), Rolling Fun",Undisclosed (pre-seed),"https://www.watoga.tech/
https://www.ejorgenson.com/blog/watoga-mining-software
https://www.canadianminingjournal.com/featured-article/blasting-into-the-future-of-mining/",2026-06-03T04:00:00.000Z
NOVAMERA (SURGICAL MINING TECHNOLOGIES),https://novamerainc.com/,"Jim Hollis (CEO), Dustin Angelo (COO & Co-Founder, former President/CEO of Anaconda Mining), Allan Cramm (VP Innovation & Co-Founder, former General Manager at Anaconda Mining); technology concept originated from Memorial University drilling program collaboration","2019 (Ontario, Canada; first commercial mining at Golden Promise deposit near Badger, Newfoundland)","Mining technology hardware + software-as-a-service — Surgical Mining system enables precision extraction of narrow-vein deposits previously uneconomic with conventional bulk mining; combines advanced downhole imaging, AI 3D modeling, and precision robotic/directional drilling; claims 95% less waste, 44% less GHG emissions, significantly lower water usage vs conventional; monetizes via contracted mining services + technology licensing; achieved world-first commercial production using Surgical Mining at Golden Promise deposit","Surgical Mining = patented integration of: (1) proprietary downhole imaging system for precise real-time deposit mapping, (2) AI-powered 3D modeling of narrow-vein deposit geometry, (3) precision robotic/directional drilling for surgical ore extraction. Data-driven hardware + software stack working with adapted conventional drilling equipment. Real subsurface imaging data as input. Focus: previously uneconomic narrow-vein deposits (analogy: laparoscopic surgery vs open surgery). No diffusion/GNN claims.","Production / development stage — narrow-vein deposit extraction (mining production, with some exploration-to-production transition applications)",DIGITAL co-investment · .0M · Mar 2026 (Canada's Digital Technology Supercluster); prior: Series A-II .5M (Jun 2024),"Founded 2019 → early grants (MICA, NRC-IRAP, CDL, Halliburton Labs) → Series A M (BDC Capital lead, Chrysalix follow-on) → Series A-II .5M (Jun 2024) → DIGITAL .0M co-investment (Mar 2026); total ~.6M+ raised over 7+ rounds","BDC Capital (Industrial Innovation Venture Fund, Series A lead), Chrysalix Venture Capital, Digital Technology Supercluster / DIGITAL (Canada, .5M Series A-II + M Mar 2026 co-investment), Halliburton Labs, Mining Innovation Commercialization Accelerator (MICA), Convergent Ventures, Creative Destruction Lab (CDL), Foresight Clean Accelerator Centre, Alpha Future Funds, NRC-IRAP (non-equity)",Undisclosed,"https://novamerainc.com/
https://novamerainc.com/digital-co-invests-4-0m-in-novameras-surgical-mining-technology-to-strengthen-north-american-critical-minerals-supply/
https://novamerainc.com/digital-co-invests-3-5m-to-advance-novameras-surgical-mining-technologies/
https://www.cbinsights.com/company/novamera",2026-06-03T04:00:00.000Z
FORO ENERGY,https://www.foroenergy.com/,"Joel Moxley (original Founder & CEO, established 2009); current CEO Paul Carragher (25+ years strategic leadership in VC, engineering, energy); now a BiSN company","2009 (Littleton, CO, US; currently a BiSN company)","⚠️ Not AI-based exploration — deep-tech hardware company commercializing high-power fiber laser systems for oil/gas/geothermal/mining industries; applications: drilling, decommissioning/plug-and-abandonment, production enhancement, wellbore interventions; B2B licensing + services; primary current focus: offshore decommissioning (Chevron partnership)","⚠️ Not AI — high-power fiber laser transmitted via fiber optic cable (3,500m+): Foro SBS suppression technique maintains beam coherence over long cable runs; laser-mechanical hybrid drilling: laser thermal shock spalls/softens rock, mechanical drill clears debris — claimed 2-4× faster drilling at 1/3 cost. 50+ US/international patents. NOT AI-based; pure high-power laser/photonics technology.",⚠️ N/A for mineral exploration — oil/gas/geothermal/mining drilling and decommissioning,Undisclosed (cumulative M+ raised via VC + .1M ARPA-E grant; Chevron and ConocoPhillips became equity investors 2011),"Founded 2009 → .1M ARPA-E grant (2010, largest available at time) → Chevron + ConocoPhillips strategic equity (2011) → Petrobras Technology Cooperation Agreement (2014) → M+ total raised; subsequently acquired by BiSN","Chevron (strategic equity, 2011), ConocoPhillips (strategic equity, 2011), Petrobras (strategic partnership, 2014), ARPA-E (non-equity grant .1M)",Undisclosed (now BiSN subsidiary),"https://www.foroenergy.com/about
https://arpa-e.energy.gov/programs-and-initiatives/search-all-projects/laser-mechanical-drilling-geothermal-energy",2026-06-03T04:00:00.000Z
XTREMEX (MINING TECHNOLOGY),https://www.xtremexmining.com/,Not confirmed from available sources; founded by experienced professionals from oil & gas and mining industries,"2022 (Bellaire, TX, US; XtremeX Mining Technology)","Mining tech hardware startup — AC-electric automated coiled tubing + electric top-drive diamond core drilling rig; sold/deployed for energy transition metal exploration (copper, cobalt, lithium, nickel, gold, silver); current deployment: Ivanhoe Electric's Santa Cruz copper project (Arizona) as funded field trial; plans production scale-up post-trial; revenue from drill rig deployment + data services","Hybrid coiled tubing + conventional diamond core drilling — HCT-1 rig: AC-electric, automated, combines continuous coiled tubing and drill rod with electric top-drive; cloud-based monitoring and automation systems. Claims to transform exploration drilling for next-generation energy transition metals. AI/automation layer for cloud operations monitoring. Hardware-first with software control and data layer; no geological prediction AI claimed.",Exploration drilling (resource definition — automated core drilling for energy transition metals),Series A · M · 2024 (led by GoGreen Partners),"Founded 2022 → Series A M (2024, GoGreen Partners lead); total ~M raised",GoGreen Partners (Series A lead),Undisclosed,"https://www.xtremexmining.com/
https://www.mining-technology.com/news/xmt-deploy-hybrid-drilling-rig-arizona-copper-project/
https://pitchbook.com/profiles/company/732194-83",2026-06-03T04:00:00.000Z
DURIN,https://www.durin.com/,"Ted Feldmann (Founder & CEO, third-generation mining professional)","2024 (San Francisco / California, US; ~5-person team as of April 2025)","Automated drilling-as-a-service for mineral exploration — builds and operates semi-autonomous drill rigs for hire on active North American exploration projects; generates operational data while earning revenue from drilling contracts; long-term roadmap: consolidate into unified platform delivering real-time mineralogical/structural data and assay data in days (vs months); mission: slash drilling costs (currently 70% of exploration capital, 60% labor-driven)","Semi-autonomous/remotely-operated drill rigs with rich sensor suites. Initial rig: 300m deep, 2.5-inch diameter. Integrating pipe-loading automation. Developing AI models for unattended drilling operations. Four-phase roadmap: Build (semi-autonomous rigs) → Operate (deploy on active North American projects, generate data) → Scale (global production, simplified parts) → Consolidate (unified platform: geological modeling + lab testing + drillhole planning + real-time data from rig in minutes, assay data in days). Currently Build/Operate phase.",Exploration drilling (automated core drilling for critical mineral discovery — replaces conventional manual exploration drilling),Pre-Seed · .4M · 2025 (led by 8090 Industries),"Founded 2024 → Pre-Seed .4M (2025, 8090 Industries lead); total ~.4M raised","8090 Industries (lead), Andreessen Horowitz (a16z), Lux Capital, Contrary Capital, Bedrock, Champion Hill Ventures, Day One Ventures, 1517 Fund, Rio Tinto (strategic), Founders Factory",Undisclosed (pre-seed),"https://www.durin.com/
https://techcrunch.com/2025/04/23/durin-digs-up-3-4m-to-automate-drills-for-critical-minerals-exploration/
https://tracxn.com/d/companies/durin/",2026-06-03T04:00:00.000Z
MinersAI,https://www.minersai.com/,"Mason Dykstra (CTO & Co-founder), Thomas-Louis 'Tomi' de Lophem (CEO & Co-founder) — combined 50+ years in Oil & Gas, Energy, and Deep Tech","2023 (Boulder, Colorado, US / Brussels, Belgium)","B2B AI-driven geoscience data platform — provides standardized, AI-ready geological, geochemical, and geophysical data sourced from historical records, national surveys, and past exploration projects; cloud-based tools for digital prospecting, pattern recognition, geochemical analysis, and mineral probability mapping; serves mineral exploration companies, active mining operations, government authorities, and M&M investors","AI/ML platform for geoscience data structuring and mineral probability mapping. Core pipeline: Data Cube Generator (normalizes and encodes multi-source geological data to international standards) → AI pipeline generating high-resolution mineral probability maps showing regional mineralization potential. Emphasis on data preparation (~80% of workflow) guided by integrated geoscientists. Targets lithium, nickel, graphite, copper, and rare earth elements. No diffusion or foundation-model claims; classical ML/probabilistic approach.",Early-stage exploration — greenfield targeting and prospectivity mapping (pre-drill),"Seed (Techstars-led, exact amount undisclosed, 2023/2024)","Founded 2023 → Seed (Techstars-led, 2023/2024, multiple institutional co-investors); total undisclosed","Techstars (lead, latest round), Creative Destruction Lab (CDL), Wilbe Capital, M1C Capital, Speedinvest, welovefounders, Mission One Capital",Undisclosed (early-stage seed),"https://www.minersai.com/
https://bouncewatch.com/explore/startup/minersai
https://tracxn.com/d/companies/minersai/",2026-06-03T04:00:00.000Z
Mineural,https://www.mineural.ca/,"Laurence Guyot-Messier (Co-founder); management team: Julien Carayol (General Director), Eliott Theas (Corporate Development Director), Jeremie Langlois (Sales & Marketing Director), Sebastien Faguet (CFO & IT Manager)","January 2023 (Quebec, Canada); IRIS technology invented September 2021 (originally developed for the Frank Arnott Award, an international mineral exploration innovation competition)","B2B AI-driven mineral targeting service — sells exploration services (not pure SaaS) using IRIS platform to generate favorability maps identifying mineral targets; commodity-agnostic; focus on critical and strategic minerals (lithium, copper, nickel, REEs); monetizes via service contracts with exploration companies; participant in BHP Xplor program for copper exploration",IRIS (Intelligent Resource Identification System) — proprietary AI platform that processes large geoscience datasets to create favorability maps for mineral discovery. Commodity-agnostic: applicable to any mineral commodity. Specific ML architecture not publicly disclosed. Data: public geoscience datasets + proprietary exploration data. Reduces exploration timeline from months to weeks. No diffusion/GNN claims.,Greenfield / early-stage exploration targeting (pre-drill target generation),"Private Seed (Dec 2023, exact amount undisclosed; company 92% owned by co-founders/friends, 8% private investors)",IRIS invented Sep 2021 → Mineural Inc. incorporated Jan 2023 → Private Seed Dec 2023 (undisclosed amount); also BHP Xplor program participant (non-dilutive support),"Private seed investors (undisclosed names, 8% stake); BHP (Xplor program — non-dilutive)",Undisclosed (seed stage; 92% founder-owned),"https://www.mineural.ca/en/thecompany/
https://www.azomining.com/Article.aspx?ArticleID=1893
https://www.innovationnewsnetwork.com/enhancing-mineral-exploration-with-ai-mineurals-path-to-sustainable-mining/50369/",2026-06-03T04:00:00.000Z
Atomionics,https://www.atomionics.com/,"Sahil Tapiawala (CEO & Co-founder), Dr. Ravi Kumar (CTO & Co-founder)","~2017-2018 (Singapore, with offices in Australia, India, and San Francisco)","Deep-tech hardware + data services — develops portable quantum gravimetry sensors (Gravio) and AI-powered 3D interpretation software (ORE-O); sells deployment services and data interpretation to mining, energy, and defense sectors; expanding into Australian and North American mineral exploration markets via strategic BHP Ventures backing; long-term: sensor-as-a-service for subsurface intelligence","Quantum gravimetry + AI-driven 3D subsurface modeling. Gravio: basketball-sized portable quantum gravimeter using atom interferometry to detect gravitational anomalies without invasive drilling or electromagnetic radiation — claimed 10× faster data acquisition than conventional methods. ORE-O: AI geologist software for 3D deposit visualization and interpretation. Claims 100× more data, 10× faster, and 500% more resource discovery vs conventional methods. Architecture: quantum sensor hardware + AI/ML interpretation layer; real data from quantum gravity measurements.","Greenfield targeting + subsurface mapping (pre-drill intelligence; detects copper, lithium, and other critical minerals)",Pre-Series A · .7M · Sep 2025 (led by Paspalis),"Early seed (Wavemaker, SEEDS Capital, 500 Global, Capvista, Endeavour Fund, SG Innovate) → Pre-Series A .7M (Sep 2025, Paspalis lead); total raised ~.7M+ disclosed","Pre-Series A (Sep 2025): Paspalis (lead, Australia strategic), BHP Ventures, IQT (In-Q-Tel, US intelligence/defense VC), Wavemaker, VU Venture Partners, SG Growth Capital, Alex Turnbull. Earlier: SEEDS Capital, 500 Global, Capvista, Endeavour Fund (EF), SG Innovate",Undisclosed (Pre-Series A .7M Sep 2025; no valuation disclosed),"https://www.atomionics.com/
https://www.bhp.com/news/articles/2025/09/bhp-ventures-invests-in-quantum-sensor-startup-atomionics
https://www.mining.com/atomionics-raises-12m-to-scale-its-mineral-discovery-technology/
https://technode.global/2025/09/17/singapores-atomionics-secures-12-7m-pre-series-a-funding-to-fast-track-resource-exploration-with-quantum-tech-in-australia-north-america/",2026-06-03T04:00:00.000Z
Mineflow,https://mineflow.ai/,"Ryan Goggins (Founder & CEO — BS AI, Carnegie Mellon School of Computer Science; taught grad-level Deep Learning + Search Engines courses; ex-Google ML engineer, Display Ads optimization, launched products generating ~M ARR)","2024 (San Francisco, CA, US; Y Combinator Summer 2024 batch)",B2B AI platform for mineral exploration — provides AI-generated 3D predictions of mineral deposit shapes and locations from drilling data; maintains continuously updated public mineral exploration dataset; automates integration of public filings with private project data; charges exploration companies for AI modeling services and platform access; 2-person team,Deep learning models for 3D mineral deposit shape/location prediction. Input: drill collar + mineralization data from exploration campaigns. Output: predicted 3D geometry of mineral deposits. Early trial with lithium mining company demonstrated >10× accuracy improvement over competitors for hard rock lithium deposit shape prediction. Continuously updates models as new drilling data is added. No diffusion claims; supervised deep learning on real drilling data.,Exploration + Resource Definition — pre-drill targeting and 3D deposit delineation,Seed · K · 2024 (Y Combinator S24 batch),Founded 2024 → YC S24 Seed K (2024); total raised K over 1 round,"Y Combinator (S24 batch, lead); General Catalyst (per secondary source)",Undisclosed (YC seed stage),"https://mineflow.ai/
https://www.ycombinator.com/companies/mineflow
https://tracxn.com/d/companies/mineflow/",2026-06-03T04:00:00.000Z
SensOre,https://sensore.com/,"Founders not publicly identified in available sources; company demerged from Premier1 Lithium (formerly SensOre Ltd, ASX:S3N) in Feb 2024 — the AI/technology business retained the SensOre name while the lithium resource assets rebranded as Premier1 Lithium (ASX:PLC)","~2018 (Perth, Australia; IPO Feb 2022 as SensOre Ltd ASX:S3N at A.7M market cap; demerged AI tech division as standalone SensOre in 2024)","B2B AI-enhanced mineral targeting services + technology licensing — provides data, ML targeting tools, and geoscience consulting to exploration companies; products: Data Cube (Australia's largest geoscience data repository: 2,500+ data layers, 60B+ data points), DPT® (Discriminant Predictive Targeting), iDeposit, iFertile, IGRock, Aglads, Discoveries Database; subsidiary Intrepid Geophysics; offices in Perth and Melbourne","AI/ML + big data geoscience targeting. Core technology: Data Cube (multidimensional repository integrating geophysical, geochemical, remote sensing, and drilling data across Australia) + DPT® (Discriminant Predictive Targeting — multi-variable statistical and ML analysis ranking exploration targets by mineralization probability). No diffusion/GNN/foundation-model claims; classical ML/statistical approach applied at continental scale. BHP-validated: contributed to B+ value unlocked from data automation (per BHP announcement March 2022).",Multi-stage: early exploration targeting + prospectivity mapping + resource definition (Australia-focused; expanding internationally),"BHP Ventures strategic investment (March 2022); IPO A.5M (Feb 2022, ASX:S3N); company subsequently demerged (2024)","Seed (Salus Ventures) → IPO A.5M (Feb 2022, ASX:S3N, A.7M market cap) → BHP Ventures strategic investment (Mar 2022) → demerger Feb 2024 (Premier1 Lithium took lithium assets; SensOre retained AI technology business); current funding as private tech company undisclosed","Salus Ventures (seed), BHP Ventures (strategic investment Mar 2022), Tully Investors Ltd; public shareholders (post-IPO ASX:S3N before demerger)","A.7M at IPO (Feb 2022, ASX:S3N); current valuation undisclosed post-demerger as private technology company","https://sensore.com/
https://investingnews.com/stocks/asx-s3n/sensore/
https://www.proactiveinvestors.com.au/companies/news/1040116/sensore-name-change-to-premier1-lithium-will-take-effect-this-week-1040116.html",2026-06-03T04:00:00.000Z
